num,1,2,3,4,label
117,-0.003,-0.003,0.0075,0,1
118,-0.0038,-0.0023,0.0082,-0.0008,1
119,-0.0053,-0.0008,0.003,-0.0008,1
120,-0.0046,0.0007,0.0007,0,1
121,0,0.0007,-0.0015,-0.0008,1
122,0.0022,0.003,-0.0053,-0.0015,1
123,0.0052,0.003,-0.0083,-0.0023,1
124,0.0052,0.0007,-0.0083,-0.0015,1
125,0.0045,-0.0008,-0.0083,-0.0015,1
126,0.003,-0.0008,-0.0046,-0.0023,1
127,0.0015,-0.0008,0.0007,-0.0015,1
128,0.0022,0.0007,0.0007,-0.0023,1
129,0.0007,0.0007,0.003,-0.0023,1
130,0.0015,0.0015,0.0022,-0.0008,1
131,0.0007,0.0007,0.0015,0,1
132,-0.0008,-0.0008,0.003,-0.0008,1
133,-0.003,-0.0008,0.0052,-0.0008,1
134,-0.0046,-0.0015,0.0082,0,1
135,-0.0023,-0.0015,0.0045,0.0007,1
136,-0.0015,-0.0015,0.0045,0,1
137,0.0007,0,0.0015,-0.0023,1
138,0.0037,0.0015,-0.003,-0.003,1
139,0.0052,0.0022,-0.006,-0.0023,1
140,0.006,0.0022,-0.0075,-0.003,1
141,0.0045,0.0015,-0.0068,-0.0015,1
142,0.003,0.0007,-0.0038,0.0015,1
143,0.0015,-0.0008,0,0.0007,1
144,0.0007,0.0007,0.0015,0,1
145,-0.0008,-0.0008,0.0022,0.0007,1
146,-0.0008,-0.0008,0.0007,0.0015,1
147,-0.0008,-0.0008,0,0.003,1
148,-0.0015,-0.0015,0.0037,0.003,1
149,-0.003,-0.0015,0.0052,0.003,1
150,-0.0046,-0.0015,0.009,0.0052,1
151,-0.0046,-0.0008,0.0075,0.0045,1
152,-0.0015,-0.0008,0.0052,0.0007,1
153,0.0007,-0.0008,0.003,0,1
154,0,0.0007,-0.0008,-0.0008,1
155,0.0015,0,-0.0046,-0.0015,1
156,0.003,-0.0015,-0.0091,-0.0008,1
157,0.003,0.0007,-0.0098,-0.0015,1
158,0.0037,0.0007,-0.0075,-0.0008,1
159,0.003,0,-0.006,0,1
160,0.0007,0.0007,-0.0046,0.0015,1
161,-0.003,-0.0023,-0.0023,0.0022,1
162,-0.0023,-0.0023,0.0015,0.0007,1
163,-0.0015,-0.0023,0.0022,0.0015,1
164,-0.003,-0.003,0.003,0.0007,1
165,-0.0023,-0.0015,0.0045,-0.0008,1
166,-0.0015,-0.0015,0.0075,0.0007,1
167,-0.0038,-0.0015,0.009,0.0007,1
168,-0.0023,-0.0008,0.0052,0,1
169,0.0022,0.0007,0.003,0,1
170,0.0015,0.0015,-0.0008,-0.0015,1
171,0.0045,0.0015,-0.003,-0.0023,1
172,0.0052,0.0022,-0.0068,-0.0023,1
173,0.006,0.0045,-0.0113,-0.0015,1
174,0.0075,0.0037,-0.012,-0.0015,1
175,0.0045,0.0015,-0.0091,-0.0023,1
176,0.0037,0.0015,-0.003,-0.0008,1
177,0.0015,-0.0008,-0.0008,0,1
178,0.0007,-0.0008,0.0007,-0.0008,1
179,-0.0008,0.0007,0.0022,0.0007,1
180,-0.0015,0.0007,0.0015,0,1
181,-0.0015,0,0.0015,0.0007,1
182,-0.0046,-0.0008,0.0045,0.0007,1
183,-0.0038,-0.0008,0.0067,-0.0008,1
184,-0.0053,-0.0015,0.0067,-0.0008,1
185,-0.0053,-0.0008,0.0052,-0.0008,1
186,-0.0015,-0.0008,0.0007,-0.0008,1
187,0.0007,-0.0008,-0.0038,0,1
188,0.003,0.0007,-0.0053,0.0007,1
189,0.0082,0.0007,-0.0075,-0.0008,1
190,0.0082,0.0022,-0.0091,-0.0015,1
191,0.006,0.003,-0.0091,-0.0008,1
192,0.0067,0.0007,-0.0053,-0.0015,1
193,0.0045,-0.0008,-0.0008,-0.0015,1
194,0,-0.0015,0.0015,-0.0008,1
195,0,-0.0023,0.0022,0.0007,1
196,-0.0015,-0.0023,0.0015,0.0007,1
197,-0.0023,-0.0023,0.0015,-0.0008,1
198,-0.0023,-0.0038,0.0022,0.0007,1
199,-0.0046,-0.0046,0.0052,-0.0008,1
200,-0.0046,-0.0046,0.009,0,1
201,-0.0008,-0.0046,0.0075,0.0015,1
202,-0.0008,-0.0038,0.006,0.0007,1
203,-0.0008,-0.0046,0.0015,-0.0008,1
204,0.0015,-0.0015,-0.003,-0.0008,1
205,0.0045,0.0007,-0.0053,-0.0008,1
206,0.0037,0.0007,-0.0068,-0.0015,1
207,0.0037,0.0015,-0.0091,-0.0015,1
208,0.0052,-0.0008,-0.0083,-0.0023,1
209,0.0015,0.0007,-0.0023,-0.0015,1
210,0,0.0007,0,-0.0008,1
211,-0.0008,0,0,0.0007,1
212,-0.0023,-0.0008,0,0,1
213,-0.0038,-0.0023,0.0022,-0.0008,1
214,-0.003,-0.0015,0.0052,0.0007,1
215,-0.0015,0,0.0045,0.0007,1
216,-0.0053,0,0.0052,0.0015,1
217,-0.0053,-0.0008,0.0067,0.0007,1
218,-0.0053,-0.0008,0.0075,-0.0008,1
219,-0.003,-0.0008,0.0045,-0.003,1
220,-0.0008,0.0007,0.0015,-0.003,1
221,0.0007,0.0015,-0.003,-0.0008,1
222,0.003,0.0015,-0.0068,-0.0008,1
223,0.0045,0.003,-0.0091,-0.0015,1
224,0.0067,0.0022,-0.0098,-0.0008,1
